Area,BonusMalus,DrivAge,VehAge,VehBrand,VehPower,ClaimNb,Exposure
E,64,34,6,B5,5,0,0.8
E,50,48,7,B2,7,0,1
E,50,46,6,B12,9,0,0.54
D,85,31,12,B1,6,0,0.08
C,50,53,3,B12,6,2,0.05
E,54,34,10,B1,6,0,0.08
D,50,48,2,B2,5,0,0.08
D,50,87,15,B2,5,0,1
D,50,46,4,B5,10,0,0.08
C,68,34,14,B2,4,0,0.01
E,50,46,1,B6,6,0,0.08
E,90,28,7,B1,8,0,0.01
B,50,36,2,B12,4,0,0.67
E,64,30,6,B5,6,0,1
D,59,43,15,B3,5,0,0.97
D,85,23,3,B5,7,0,0.84
D,57,31,6,B1,7,0,0.95
C,50,61,14,B2,7,0,1
D,50,49,3,B1,4,0,1
D,95,48,13,B1,6,0,0.08
D,68,31,10,B5,5,0,0.96
C,57,55,9,B2,7,1,1
B,54,48,7,B3,6,0,0.58
E,50,62,2,B1,11,0,0.08
E,50,40,1,B12,4,0,0.79
C,50,44,10,B2,5,0,0.08
C,60,36,10,B2,8,0,0.36
E,80,28,7,B1,6,0,0.28
C,50,50,1,B12,4,0,0.08
C,55,52,7,B4,4,0,0.07
D,72,33,1,B6,7,0,0.53
C,57,33,5,B12,6,0,0.08
C,64,60,5,B5,6,0,0.87
C,85,21,7,B3,7,0,0.25
E,50,82,2,B12,4,0,0.41
D,90,45,15,B2,5,0,1
D,60,30,3,B2,8,0,0.07
D,50,45,4,B1,7,0,1
D,50,56,8,B6,7,0,0.02
E,60,31,2,B2,6,1,0.39
D,50,44,1,B2,5,0,0.08
D,90,33,6,B3,11,0,0.22
D,85,32,15,B4,5,0,0.5
D,50,67,1,B2,5,0,0.08
D,85,30,0,B12,6,0,0.71
E,68,26,1,B12,8,0,0.62
D,50,57,3,B12,7,0,0.87
D,50,48,8,B5,5,0,0.08
C,50,46,10,B12,10,0,0.25
D,50,50,6,B1,5,0,0.5
D,90,25,10,B2,5,0,0.64
E,76,43,15,B1,6,0,0.08
D,64,44,1,B1,9,0,0.08
D,50,40,13,B2,4,0,1
D,62,49,13,B4,5,0,0.24
E,50,48,5,B3,5,0,0.06
E,68,29,2,B12,10,0,0.07
E,50,49,0,B12,7,0,0.02
B,54,41,3,B2,4,0,1
A,50,40,1,B1,9,0,0.41
D,57,29,0,B12,8,0,0.06
C,50,21,6,B5,4,0,0.98
E,60,27,16,B4,4,0,0.01
D,50,47,3,B2,4,0,0.74
C,100,28,0,B12,5,0,0.87
D,54,38,7,B5,5,0,0.4
C,51,34,5,B5,6,0,0.97
D,50,29,13,B5,5,0,0.97
D,51,46,2,B3,8,0,0.07
D,50,31,8,B4,5,0,1
D,100,29,5,B1,5,0,0.26
C,62,33,11,B2,6,0,0.29
D,50,65,9,B12,7,0,0.08
E,50,48,2,B12,8,0,0.3
C,50,45,1,B12,4,0,0.59
E,72,28,15,B1,6,0,0.31
E,76,28,2,B12,5,0,0.7
C,64,36,9,B12,7,0,0.82
C,50,54,3,B3,4,0,0.09
D,50,55,1,B12,6,0,0.21
D,70,31,1,B12,7,0,0.54
D,50,59,2,B1,7,0,1
D,50,37,9,B2,7,0,0.06
D,50,43,1,B1,7,0,0.67
D,50,43,1,B12,4,0,0.00273972602739726
D,50,46,1,B12,5,0,0.25
C,57,47,3,B12,5,0,0.21
C,50,53,2,B12,4,0,0.15
B,50,38,4,B12,4,0,0.41
D,76,41,3,B1,6,0,1
D,80,25,10,B1,4,0,0.07
D,72,35,2,B1,6,0,1
C,50,76,6,B2,7,0,0.24
D,90,34,6,B2,6,1,0.38
D,50,36,13,B1,4,0,0.87
D,50,39,1,B1,7,1,0.41
E,76,31,18,B3,5,0,0.08
C,50,43,3,B1,5,0,0.45
D,85,32,14,B4,7,0,0.55
C,50,58,4,B12,4,0,0.87
D,50,48,12,B1,7,0,0.08
D,58,43,12,B1,7,0,0.07
B,50,56,5,B3,10,0,1
D,50,41,13,B1,10,0,1
D,64,32,6,B2,8,0,0.42
A,50,50,5,B2,6,0,0.41
B,50,57,10,B6,6,0,0.48
D,90,22,2,B2,5,0,0.01
D,50,67,0,B12,7,0,0.04
E,63,62,4,B1,7,0,0.24
C,100,25,9,B3,6,0,0.49
D,55,40,16,B1,4,0,0.08
C,50,43,14,B1,6,0,1
D,93,33,1,B1,4,0,0.86
B,50,38,3,B1,7,0,1
B,85,28,10,B1,4,0,0.48
B,50,68,8,B6,4,0,1
D,55,56,0,B1,7,0,0.08
E,60,31,2,B3,6,0,0.2
C,95,24,9,B6,6,2,1
C,50,39,1,B12,5,0,0.32
E,95,32,6,B12,7,0,0.02
D,100,27,0,B12,5,0,0.95
C,95,22,2,B1,4,0,1
E,50,37,1,B12,7,0,0.28
A,85,30,9,B5,5,0,0.96
D,55,40,6,B1,6,0,0.08
E,50,25,14,B2,4,0,0.07
E,62,55,7,B2,6,0,0.22
E,50,52,10,B1,7,0,0.45
E,57,31,6,B2,4,0,0.91
C,50,47,9,B2,6,0,0.08
D,100,34,3,B4,4,0,0.37
C,57,32,11,B3,9,0,0.75
C,50,41,13,B2,6,0,1
C,67,33,6,B12,7,0,0.13
C,118,21,13,B3,7,0,1
D,76,25,5,B2,6,0,0.14
E,51,40,3,B1,7,0,0.79
D,50,53,9,B1,6,0,0.3
D,85,24,1,B12,4,0,0.87
C,50,33,4,B3,6,0,0.58
C,60,30,0,B12,8,0,0.07
D,50,59,6,B1,6,0,1
C,64,32,3,B12,7,0,0.83
C,50,46,8,B2,6,0,0.00273972602739726
D,50,57,3,B12,6,0,0.78
D,72,29,4,B5,5,0,0.08
D,50,48,1,B5,7,0,0.08
C,64,27,18,B1,4,0,0.08
D,50,65,3,B5,9,0,0.04
C,76,33,6,B12,7,0,0.05
E,50,74,6,B5,6,0,0.62
D,72,48,0,B2,5,0,0.1
D,50,60,10,B1,7,0,0.19
D,50,58,17,B4,6,0,0.08
E,50,53,10,B1,6,0,0.46
E,50,28,13,B2,5,0,0.24
D,72,34,2,B12,4,0,0.65
E,90,28,0,B12,4,0,0.15
D,50,54,3,B12,4,0,0.1
D,95,25,7,B3,5,0,0.21
E,50,75,4,B12,5,0,0.45
E,50,42,6,B3,5,0,0.08
C,100,24,16,B1,7,0,0.03
E,90,34,3,B2,5,0,0.47
C,71,30,6,B5,7,0,0.08
D,85,28,2,B5,6,0,0.08
D,50,49,22,B3,8,0,0.24
D,85,36,5,B5,7,0,0.63
C,90,22,10,B4,4,0,0.61
D,95,25,6,B1,6,0,0.00273972602739726
E,76,42,7,B2,4,0,0.08
D,100,36,0,B12,7,0,0.66
D,51,39,4,B4,6,0,0.08
D,85,31,12,B1,6,0,0.52
C,57,29,15,B1,7,0,1
D,95,27,0,B12,5,0,0.96
B,50,61,0,B3,7,0,0.06
D,57,27,0,B3,6,0,0.05
D,50,51,1,B12,5,0,0.55
C,72,33,15,B2,7,0,0.04
E,51,31,4,B12,4,0,0.16
D,50,63,1,B12,11,0,0.71
E,64,28,2,B12,6,0,0.58
D,50,38,2,B5,6,0,0.00273972602739726
C,80,24,7,B1,5,0,0.21
C,50,56,8,B3,5,0,1
C,50,36,2,B12,7,0,0.07
D,62,37,17,B1,4,0,0.24
E,50,45,3,B12,4,0,0.95
E,62,59,2,B2,5,0,0.33
D,50,66,5,B4,6,0,0.08
E,60,21,14,B1,7,0,0.33
D,95,27,9,B3,8,0,0.39
C,50,43,10,B6,4,0,0.1
D,50,43,0,B2,5,0,0.08
A,58,61,2,B3,5,0,0.23
D,80,29,5,B5,7,0,0.54
C,50,42,8,B3,6,0,0.05
D,50,40,12,B2,7,0,1
D,55,65,10,B2,5,0,1
C,68,32,1,B12,7,0,0.07
D,50,59,18,B4,6,0,0.08
D,50,68,2,B2,5,0,0.32
B,50,45,13,B1,6,0,1
E,50,70,2,B12,10,0,0.45
C,50,52,0,B12,8,0,0.07
D,50,41,5,B2,6,0,1
D,50,63,12,B12,9,0,1
E,50,48,1,B12,5,0,0.58
B,50,44,8,B1,6,0,1
E,60,34,4,B1,6,0,0.07
E,50,64,0,B12,10,1,0.5
E,60,58,3,B12,4,0,0.53
C,95,27,15,B1,6,0,0.04
C,50,64,17,B3,7,0,0.71
D,85,27,2,B2,5,0,0.27
D,85,29,7,B12,6,0,0.54
D,54,34,11,B3,10,0,0.24
C,95,44,1,B12,4,0,0.03
B,76,29,2,B12,4,0,0.37
C,50,47,0,B12,4,0,0.41
D,100,27,12,B6,7,0,0.38
D,62,54,6,B2,6,0,1
D,85,27,1,B12,4,0,0.26
C,72,26,2,B12,7,0,0.45
C,50,72,10,B2,7,0,1
D,80,29,15,B2,5,0,0.09
C,85,22,13,B2,6,0,0.16
D,50,42,0,B12,8,0,0.06
C,95,27,13,B2,7,0,1
D,95,28,10,B2,7,0,0.8
D,68,38,1,B12,7,0,0.87
A,50,54,1,B3,9,0,0.00819672131147541
D,68,36,2,B12,8,0,0.13
E,66,65,7,B2,6,0,0.7
E,85,32,18,B2,4,0,0.08
E,68,33,4,B12,7,0,0.7
E,72,33,15,B1,4,0,0.12
D,50,43,1,B12,7,0,0.72
D,50,34,11,B2,4,0,1
C,64,28,21,B2,4,0,0.56
E,100,20,14,B1,6,0,0.66
C,50,33,7,B3,5,0,0.78
D,54,33,2,B12,5,0,0.47
C,51,35,2,B12,7,0,0.8
D,106,35,18,B12,5,0,0.08
C,50,42,0,B12,4,0,0.22
C,50,76,3,B12,5,0,0.12
E,72,33,3,B4,6,0,0.59
C,76,46,1,B5,7,0,0.49
C,90,22,12,B1,6,0,0.05
D,51,31,0,B12,11,0,0.31
E,50,78,3,B2,7,0,1
D,50,48,16,B5,5,0,0.33
D,64,29,10,B5,5,0,0.67
D,57,40,10,B1,6,0,0.17
B,50,48,3,B3,10,1,1
D,90,23,9,B1,5,0,1
E,50,74,3,B12,6,0,0.36
C,57,37,8,B3,6,0,0.08
D,50,45,1,B12,4,0,0.27
E,72,25,1,B12,7,0,0.46
E,64,30,9,B12,6,0,0.66
B,72,24,13,B1,6,0,1
D,50,59,1,B12,8,0,0.87
D,50,30,6,B2,4,0,0.23
D,50,66,14,B2,7,0,0.01
C,90,47,6,B1,6,0,0.08
D,90,22,7,B3,6,0,0.75
E,57,59,4,B12,4,0,0.53
B,64,32,14,B1,9,0,0.34
D,50,58,5,B2,7,0,0.6
E,76,28,2,B12,4,0,0.18
D,50,63,1,B2,5,0,0.8
D,100,74,0,B12,10,0,0.36
C,50,43,7,B6,10,0,0.76
D,60,35,1,B12,6,0,0.19
E,58,39,9,B3,5,0,1
D,50,43,9,B1,7,0,1
E,60,33,14,B2,4,0,0.08
D,60,35,0,B12,6,0,0.75
D,68,65,0,B12,4,0,0.47
D,72,26,6,B3,6,0,0.3
C,50,46,1,B12,5,0,0.06
D,50,42,3,B12,4,0,0.2
E,50,34,15,B6,4,0,0.58
D,90,35,4,B3,6,0,0.52
E,58,50,10,B3,6,0,0.5
D,68,26,8,B1,6,0,0.63
C,50,56,13,B2,5,0,1
D,59,33,12,B1,6,1,1
D,72,40,4,B3,5,0,1
C,57,37,4,B12,7,0,0.33
E,50,41,10,B2,8,0,0.35
B,50,59,16,B1,7,0,1
D,85,26,2,B2,6,0,0.08
D,50,67,1,B1,12,0,0.08
D,50,58,10,B5,4,0,0.9
C,72,55,2,B12,6,0,0.24
D,50,37,7,B12,10,0,0.43
A,50,42,1,B12,8,0,0.03
B,50,54,3,B1,4,0,1
D,100,23,1,B12,4,0,0.48
D,85,22,2,B2,5,0,0.46
D,50,49,1,B12,6,1,0.66
C,64,31,10,B12,8,0,0.14
E,80,25,1,B12,7,0,0.06
D,85,25,8,B6,4,0,0.09
D,100,19,16,B2,5,0,0.08
C,76,24,2,B4,7,0,0.82
E,95,31,9,B12,6,0,0.29
B,53,37,12,B1,6,0,0.08
E,68,31,6,B2,4,0,0.08
D,50,44,0,B2,5,1,0.96
D,50,82,13,B2,5,0,1
C,51,31,2,B1,5,0,0.07
A,50,52,2,B2,7,0,0.16
C,50,34,2,B2,7,0,0.01
D,57,34,1,B12,7,0,0.74
C,50,59,15,B2,4,0,1
D,90,21,1,B3,4,0,0.34
D,50,72,1,B12,4,0,0.7
E,112,52,2,B12,6,0,0.2
C,50,54,0,B12,7,0,0.07
E,50,41,11,B2,6,0,1
D,76,32,7,B2,4,0,0.5
E,85,26,2,B12,4,0,0.39
C,50,47,2,B12,5,0,0.42
D,50,58,4,B12,5,0,0.87
D,50,43,0,B12,7,0,0.05
D,50,45,3,B5,6,0,1
D,85,31,1,B12,6,0,0.28
E,64,50,1,B12,4,0,0.04
D,64,32,6,B2,6,0,0.25
D,68,42,1,B12,5,1,0.73
C,50,59,2,B12,8,0,0.63
E,50,48,2,B2,4,0,0.16
D,95,28,8,B1,5,0,0.43
D,68,32,2,B12,6,0,0.87
B,72,36,2,B3,5,1,0.8
D,71,32,1,B12,4,0,0.35
D,50,50,16,B1,4,0,0.02
D,55,46,5,B2,6,0,0.64
E,85,25,7,B1,5,0,0.47
C,64,32,5,B1,7,0,0.28
D,95,33,5,B4,5,0,0.08
D,64,29,3,B12,6,0,0.45
C,76,24,0,B12,4,0,0.07
E,95,34,9,B5,4,1,0.15
D,95,44,20,B2,4,0,0.8
C,50,36,4,B1,6,1,1
E,50,48,0,B4,4,0,0.25
D,50,47,2,B12,8,0,0.63
E,78,32,1,B12,7,0,0.16
D,85,29,5,B1,6,0,1
D,62,66,0,B12,4,0,0.06
D,72,27,3,B4,5,0,0.26
C,50,57,8,B12,8,0,0.2
E,60,33,4,B2,7,0,0.08
D,72,26,3,B1,7,0,0.08
C,50,51,3,B12,4,0,0.29
E,50,45,11,B6,4,0,0.08
D,50,30,1,B2,8,1,1
E,50,41,6,B3,6,0,0.08
C,50,53,0,B12,11,0,0.04
E,60,33,5,B2,5,0,0.2
B,50,59,1,B12,4,0,0.73
B,112,22,16,B3,4,0,0.06
D,57,37,2,B12,7,0,0.48
E,68,30,3,B12,4,0,0.63
E,50,31,4,B1,6,0,1
D,50,49,2,B12,4,0,0.36
E,64,32,7,B4,5,0,0.08
E,76,28,3,B1,6,0,0.39
D,60,27,6,B12,6,0,1
E,50,49,6,B2,7,0,1
D,95,31,6,B12,6,0,0.03
D,57,35,2,B12,5,0,0.72
C,50,50,1,B1,7,0,0.08
D,118,26,14,B2,4,0,0.11
D,68,28,17,B3,6,0,0.08
D,72,33,1,B12,6,0,0.71
D,51,56,5,B3,7,0,0.27
D,61,41,3,B12,7,0,0.45
D,100,25,0,B12,4,1,0.66
C,72,31,5,B12,7,0,0.34
E,64,32,7,B4,5,0,0.08
D,50,66,10,B2,6,0,1
D,50,42,9,B1,5,0,0.95
E,78,60,7,B1,4,0,0.08
B,50,38,1,B1,6,0,0.98
B,50,55,10,B1,6,0,0.5
E,54,33,8,B1,5,0,0.08
E,50,49,2,B12,12,0,0.29
A,60,29,0,B2,4,0,0.35
D,90,29,1,B12,6,0,0.48
E,50,64,8,B5,6,0,0.79
E,64,32,7,B4,5,0,0.08
E,100,38,11,B1,6,0,0.34
C,80,34,10,B2,5,0,0.07
C,72,25,4,B1,6,0,0.14
E,50,51,2,B12,6,0,0.28
E,67,53,12,B5,5,0,1
D,100,25,5,B4,7,0,0.53
E,50,61,6,B1,8,0,0.08
D,50,38,3,B1,8,0,0.08
C,50,72,2,B2,6,0,1
D,50,48,0,B12,4,0,0.85
C,50,41,0,B3,6,0,1
D,55,36,4,B12,9,0,0.83
E,50,51,0,B5,7,0,0.41
D,68,55,3,B12,4,0,0.11
E,65,42,0,B12,4,0,0.03
D,90,50,12,B6,7,0,0.19
B,85,28,4,B4,5,0,0.29
E,72,27,0,B12,7,0,0.19
D,68,27,2,B12,6,1,0.05
E,85,29,5,B6,5,0,0.54
E,60,31,12,B1,7,0,0.08
D,95,60,10,B3,9,1,0.03
C,50,34,0,B12,6,0,0.04
B,68,26,5,B1,6,0,1
D,64,50,2,B2,5,0,1
C,60,30,15,B2,7,0,0.04
E,75,35,7,B1,7,0,0.08
C,76,26,15,B1,6,0,0.45
C,106,24,0,B12,7,0,0.07
E,90,54,1,B12,8,0,0.28
E,72,27,1,B12,4,0,0.5
C,50,31,0,B12,7,0,0.07
B,50,56,10,B12,6,0,0.71
D,63,39,0,B3,8,0,0.13
D,88,28,0,B4,4,0,0.09
E,90,34,6,B12,6,0,0.5
C,65,29,0,B12,4,0,0.03
D,50,72,12,B1,6,0,0.66
C,50,33,8,B4,4,1,1
E,64,33,7,B3,6,0,0.75
E,76,25,1,B12,7,0,0.53
D,50,60,5,B1,5,0,1
C,50,46,1,B12,7,0,0.07
D,64,32,5,B12,7,0,0.55
C,50,47,2,B12,7,0,0.53
D,50,29,9,B2,9,0,0.14
D,68,33,12,B3,4,0,0.08
C,50,53,2,B3,5,0,0.08
C,100,54,14,B1,4,0,0.2
A,73,37,14,B2,4,0,0.24
B,50,30,15,B1,8,0,0.28
C,59,26,7,B3,6,0,0.27
E,57,28,10,B2,5,0,0.96
C,95,24,0,B2,5,0,0.03
C,85,32,4,B2,6,0,0.08
D,50,55,13,B1,9,0,0.76
C,68,29,1,B12,4,0,0.38
D,50,49,10,B2,7,0,0.4
D,85,33,9,B1,6,0,0.49
C,95,23,10,B3,6,0,0.00547945205479452
E,90,42,12,B2,6,0,0.08
D,50,43,0,B2,5,0,0.08
B,90,60,8,B12,7,1,0.77
C,64,28,4,B12,7,0,0.45
D,50,59,4,B2,5,0,1
D,50,54,14,B5,6,0,0.04
D,50,42,8,B3,6,0,0.08
C,50,66,12,B1,6,0,1
E,51,31,0,B12,4,0,0.22
D,125,40,10,B1,6,0,0.5
E,60,39,4,B12,6,0,0.04
D,50,37,6,B1,7,1,0.49
B,76,24,0,B12,5,0,0.22
D,50,62,0,B3,7,0,0.35
E,50,45,12,B2,6,0,0.08
E,50,29,2,B2,5,0,0.08
C,50,46,1,B12,8,0,0.21
D,95,25,14,B5,4,0,0.98
E,95,24,8,B12,7,0,0.48
C,90,35,13,B2,6,0,0.34
D,50,55,8,B2,5,0,0.5
D,95,27,7,B6,6,0,0.12
C,50,37,12,B5,7,0,0.33
E,50,37,3,B3,5,0,1
C,51,40,2,B12,7,0,0.49
C,50,58,11,B3,6,0,0.51
D,73,36,6,B2,9,0,0.08
D,90,52,10,B5,5,0,0.61
B,51,38,15,B2,4,0,0.08
D,50,45,12,B2,5,0,0.08
D,50,53,14,B2,4,0,0.46
C,50,51,3,B1,5,0,0.08
D,50,42,8,B3,6,0,0.08
E,50,61,6,B1,8,0,0.08
D,50,48,8,B5,8,0,0.06
C,85,27,10,B3,6,0,0.21
D,50,33,2,B12,7,0,0.34
D,90,21,11,B1,6,0,0.29
E,50,40,0,B1,9,0,0.28
E,80,31,10,B2,5,0,0.08
D,62,43,0,B4,7,0,0.54
E,50,40,12,B2,4,0,1.03
D,50,38,9,B3,5,1,0.53
D,50,43,19,B1,7,1,0.09
C,90,26,2,B12,11,0,0.21
B,57,41,8,B4,5,0,1
C,85,33,10,B4,10,1,0.38
E,52,53,7,B1,5,0,0.07
C,51,30,7,B6,6,0,1
E,85,27,1,B1,5,0,0.37
D,100,24,1,B12,7,0,0.53
C,50,50,1,B1,7,0,0.08
C,68,47,1,B3,6,0,1
C,50,59,6,B6,5,0,0.2
B,90,39,8,B2,10,0,0.82
D,64,34,14,B2,5,0,0.08
E,50,88,15,B1,4,0,0.5
E,60,31,12,B1,7,0,0.24
D,50,39,3,B12,7,0,0.08
D,50,46,9,B1,11,0,1
C,80,38,9,B1,6,0,0.08
D,90,22,1,B2,5,0,0.08
D,50,49,2,B1,10,0,1
C,50,56,0,B12,5,1,0.58
C,64,40,2,B1,7,0,0.08
D,50,45,8,B6,6,0,0.08
C,87,38,4,B1,6,0,1
D,60,35,5,B1,5,0,0.74
E,50,75,6,B4,4,0,1
D,80,27,8,B2,5,0,0.00821917808219178
D,50,39,10,B2,7,0,0.56
E,60,28,4,B2,5,0,0.24
D,50,29,0,B2,8,0,0.01
E,51,39,7,B12,7,0,0.08
E,50,77,2,B12,4,1,0.47
D,88,43,6,B1,8,0,0.32
C,100,31,14,B5,5,0,0.44
D,50,40,3,B12,9,0,0.78
C,50,49,1,B12,4,0,0.8
B,100,41,1,B12,5,0,0.19
D,57,33,11,B2,4,0,0.08
D,100,20,17,B2,5,0,0.08
D,53,44,1,B1,4,0,0.74
C,50,40,11,B2,4,0,0.38
E,50,63,0,B1,6,0,0.07
D,50,37,1,B12,9,0,0.12
E,50,49,12,B3,6,0,0.15
D,58,30,13,B2,4,0,0.08
D,50,30,2,B3,14,0,1
E,58,53,1,B3,5,1,1
E,50,57,4,B2,9,0,0.83
E,50,32,3,B3,5,0,0.26
C,50,44,15,B1,8,0,0.36
D,53,61,0,B12,7,0,0.04
B,50,35,11,B5,5,0,0.11
E,100,21,15,B1,6,0,0.33
D,50,53,7,B2,4,0,1
D,50,65,9,B12,7,0,0.24
C,72,25,0,B12,4,0,0.36
E,64,53,15,B3,5,0,0.08
C,68,26,1,B5,6,0,0.1
C,76,58,1,B12,4,0,0.63
D,80,29,1,B12,7,0,0.13
B,50,51,2,B1,4,0,0.08
D,80,23,1,B12,4,0,0.07
C,100,22,4,B3,7,0,0.03
C,50,48,2,B3,5,0,1
D,50,40,40,B1,4,0,0.08
E,67,35,4,B12,4,0,0.2
D,50,53,11,B2,7,0,0.23
C,50,54,3,B1,5,0,1
B,50,48,13,B2,9,0,1
E,50,64,1,B12,4,0,0.54
D,68,28,17,B3,6,0,0.08
C,68,31,2,B6,6,0,0.08
D,50,61,20,B2,7,0,0.02
E,50,43,1,B12,5,0,0.29
D,70,69,3,B2,4,0,0.47
D,50,44,1,B2,6,0,0.08
E,50,56,12,B2,4,0,0.08
C,50,57,3,B12,6,0,0.36
C,50,35,0,B2,8,0,0.7
E,100,25,9,B1,6,0,0.48
E,50,52,6,B12,6,1,0.74
D,50,69,2,B12,7,0,0.21
E,50,43,11,B1,4,0,1
D,50,48,2,B12,4,0,0.36
E,50,71,1,B1,4,0,0.49
E,54,59,4,B12,4,0,0.46
D,52,54,10,B4,4,0,0.2
C,60,29,4,B12,5,0,0.2
D,50,44,12,B2,5,0,1
C,50,56,0,B12,12,0,0.89
D,76,25,1,B12,5,0,0.74
D,50,35,10,B4,4,0,0.28
D,72,27,0,B12,7,0,0.00273972602739726
E,55,53,1,B12,4,0,0.53
D,90,20,16,B1,4,0,0.65
C,80,58,1,B12,4,0,0.36
C,57,30,15,B5,7,0,0.45
C,90,21,14,B1,4,0,0.31
C,64,32,3,B3,11,0,0.12
C,85,25,3,B12,4,0,0.02
D,100,26,9,B1,4,1,0.75
D,76,26,10,B1,5,0,0.22
E,50,49,6,B12,7,0,0.08
D,60,32,1,B12,7,0,0.53
E,118,24,0,B12,4,0,0.09
B,50,47,2,B12,4,0,0.32
D,50,43,1,B12,7,0,0.04
B,57,27,10,B3,4,0,1
E,50,36,10,B12,13,0,0.5
D,50,46,2,B12,4,0,0.21
E,118,76,1,B12,6,0,0.01
D,68,47,6,B2,4,1,1
D,56,35,13,B1,6,0,0.07
A,72,29,10,B2,6,0,0.37
D,50,48,1,B12,4,0,0.01
C,50,28,1,B2,8,0,0.07
D,50,58,4,B12,4,0,0.78
C,50,49,1,B12,8,0,0.45
A,50,55,2,B2,7,0,1
E,50,49,2,B12,6,0,0.03
C,76,34,8,B1,6,0,0.62
D,50,50,0,B12,10,0,0.13
D,79,41,14,B2,7,0,0.08
D,50,68,0,B12,8,0,0.05
C,72,33,3,B1,6,0,0.82
E,50,47,0,B12,12,0,0.46
B,90,39,13,B1,6,0,0.15
C,51,33,4,B3,6,0,0.4
C,50,35,2,B3,6,1,1
D,50,56,17,B3,9,0,0.16
E,90,48,1,B12,7,0,0.87
C,50,41,0,B12,11,0,0.33
D,50,49,5,B1,5,0,0.38
C,76,32,4,B2,6,0,0.08
D,100,29,7,B5,5,0,0.34
B,50,45,0,B12,7,0,0.09
D,54,31,10,B3,6,0,0.04
C,50,64,5,B3,5,0,0.25
E,68,41,5,B2,6,0,0.03
C,55,58,0,B1,4,0,0.03
E,54,39,0,B1,6,0,0.2
C,50,36,4,B3,9,0,0.08
E,50,74,3,B12,6,0,0.63
C,60,37,10,B12,12,0,0.47
A,50,46,16,B2,5,0,0.77
C,50,40,1,B2,8,0,0.67
E,85,28,2,B1,6,0,0.95
D,57,33,4,B2,5,0,0.07
C,50,36,14,B6,9,0,0.11
E,60,32,3,B3,6,0,0.08
D,65,42,2,B2,5,0,1.02
C,100,21,13,B3,9,0,0.12
C,63,34,5,B1,5,0,0.33
D,50,71,3,B12,7,0,0.3
D,50,43,1,B5,7,0,1
C,68,27,2,B12,8,0,0.08
C,100,27,9,B2,5,0,0.67
E,69,43,1,B2,6,0,0.08
